word,freq,distinct,count
sated,0.37999999999999995,5,88075.0
endia,0.37999999999999995,5,0.0
idean,0.37999999999999995,5,0.0
tsade,0.37999999999999995,5,0.0
diane,0.3799999999999999,5,7081367.0
cosie,0.3799999999999999,5,0.0
speir,0.37999999999999984,5,23387.0
piers,0.3799999999999998,5,1061175.0
spire,0.3799999999999998,5,725421.0
prise,0.3799999999999998,5,322565.0
spier,0.3799999999999998,5,180057.0
peris,0.3799999999999998,5,50088.0
pries,0.3799999999999998,5,44883.0
epris,0.3799999999999998,5,0.0
ripes,0.3799999999999998,5,0.0
siper,0.3799999999999998,5,0.0
suite,0.3789999999999999,5,44829675.0
rimes,0.3789999999999999,5,390910.0
miser,0.3789999999999999,5,222219.0
oriel,0.3789999999999999,5,208095.0
oiler,0.3789999999999999,5,152495.0
mires,0.3789999999999999,5,58144.0
emirs,0.3789999999999999,5,0.0
etuis,0.3789999999999999,5,0.0
reoil,0.3789999999999999,5,0.0
insep,0.37899999999999984,5,0.0
penis,0.3789999999999998,5,18478169.0
spine,0.3789999999999998,5,5370074.0
pines,0.3789999999999998,5,3062800.0
snipe,0.3789999999999998,5,425778.0
peins,0.3789999999999998,5,0.0
stole,0.378,5,2814273.0
gears,0.378,5,2626927.0
sarge,0.378,5,1013607.0
sager,0.378,5,511124.0
rages,0.378,5,359354.0
telos,0.378,5,223130.0
agers,0.378,5,180316.0
segar,0.378,5,45150.0
toles,0.378,5,41244.0
slote,0.378,5,30259.0
garse,0.378,5,0.0
eloin,0.37799999999999995,5,0.0
mines,0.3779999999999999,5,5542234.0
eidos,0.3779999999999999,5,538029.0
olein,0.3779999999999999,5,13736.0
diose,0.3779999999999999,5,0.0
enoil,0.3779999999999999,5,0.0
idose,0.3779999999999999,5,0.0
ileon,0.3779999999999999,5,0.0
miens,0.3779999999999999,5,0.0
oside,0.3779999999999999,5,0.0
trans,0.377,5,14243681.0
rants,0.377,5,3561826.0
agnes,0.377,5,2322429.0
starn,0.377,5,18604.0
gesan,0.377,5,0.0
tarns,0.377,5,0.0
crest,0.37699999999999995,5,5477034.0
nicer,0.37699999999999995,5,1239249.0
beisa,0.37699999999999995,5,0.0
skier,0.3769999999999999,5,863046.0
abies,0.3769999999999999,5,185002.0
kreis,0.3769999999999999,5,174706.0
caite,0.3769999999999999,5,0.0
cerin,0.3769999999999999,5,0.0
crine,0.3769999999999999,5,0.0
keirs,0.3769999999999999,5,0.0
kiers,0.3769999999999999,5,0.0
siker,0.3769999999999999,5,0.0
cents,0.376,5,10301064.0
scent,0.376,5,3277212.0
csnet,0.376,5,41479.0
geist,0.37599999999999995,5,415207.0
presa,0.37599999999999995,5,95089.0
spare,0.3759999999999999,5,10009522.0
parse,0.3759999999999999,5,3698919.0
spear,0.3759999999999999,5,2942538.0
pears,0.3759999999999999,5,1105539.0
rapes,0.3759999999999999,5,712505.0
apres,0.3759999999999999,5,282360.0
skein,0.3759999999999999,5,208604.0
reaps,0.3759999999999999,5,147148.0
pares,0.3759999999999999,5,136717.0
asper,0.3759999999999999,5,84389.0
repas,0.3759999999999999,5,49507.0
kines,0.3759999999999999,5,46172.0
apers,0.3759999999999999,5,39349.0
aurei,0.3759999999999999,5,0.0
prase,0.3759999999999999,5,0.0
spaer,0.3759999999999999,5,0.0
uraei,0.3759999999999999,5,0.0
resun,0.37500000000000006,5,0.0
nurse,0.375,5,16772151.0
smear,0.375,5,1289528.0
mares,0.375,5,789891.0
runes,0.375,5,664374.0
saute,0.375,5,546457.0
orale,0.375,5,365838.0
reams,0.375,5,253943.0
maser,0.375,5,177541.0
leora,0.375,5,75720.0
marse,0.375,5,20005.0
rosin,0.37499999999999994,5,262173.0
ostia,0.37499999999999994,5,122493.0
riden,0.37499999999999994,5,27256.0
drest,0.37499999999999994,5,13039.0
ideta,0.37499999999999994,5,0.0
aspen,0.3749999999999999,5,4626441.0
irons,0.3749999999999999,5,3116159.0
shire,0.3749999999999999,5,2665081.0
diner,0.3749999999999999,5,2261961.0
hires,0.3749999999999999,5,1845244.0
heirs,0.3749999999999999,5,1489908.0
snape,0.3749999999999999,5,689130.0
panes,0.3749999999999999,5,441440.0
shier,0.3749999999999999,5,43728.0
spean,0.3749999999999999,5,30703.0
sneap,0.3749999999999999,5,16545.0
ornis,0.3749999999999999,5,14688.0
rinde,0.3749999999999999,5,12812.0
hirse,0.3749999999999999,5,0.0
iotas,0.3749999999999999,5,0.0
napes,0.3749999999999999,5,0.0
neaps,0.3749999999999999,5,0.0
panse,0.3749999999999999,5,0.0
peans,0.3749999999999999,5,0.0
sitao,0.3749999999999999,5,0.0
spane,0.3749999999999999,5,0.0
staio,0.3749999999999999,5,0.0
stoai,0.3749999999999999,5,0.0
mensa,0.37400000000000005,5,345320.0
senam,0.37400000000000005,5,0.0
means,0.374,5,105946662.0
names,0.374,5,71918906.0
alone,0.374,5,39326417.0
tends,0.374,5,4861901.0
dents,0.374,5,1075764.0
manes,0.374,5,162340.0
manse,0.374,5,120966.0
samen,0.374,5,79154.0
olena,0.374,5,70928.0
anole,0.374,5,39883.0
amens,0.374,5,0.0
nemas,0.374,5,0.0
stend,0.374,5,0.0
eshin,0.37399999999999994,5,0.0
shine,0.3739999999999999,5,5881862.0
hsien,0.3739999999999999,5,266552.0
epist,0.37399999999999983,5,17648.0
piest,0.37399999999999983,5,0.0
septi,0.37399999999999983,5,0.0
spite,0.3739999999999998,5,4493143.0
